Название,Шкаф,Секция,Полка,Что?
ортофен гель ,4 витрина ,В,1,аналог диклофенака 
диклофенак гель,4 витрина ,В,1,
сульгин авексима ,2 шкаф зал ,В,2,
магикопласт,2 шкаф зал ,А,4 или 5 ,
Ингалипт ,2 шкаф зал ,А,5,справа в углу 
Зиртек капли ,3 витрина ,А,2,
гальманин ,4 витрина ,А,5,у стекла 
тиоктовая кислота ,4 склад ,А,3,"в самом конце, у стенки "
азеластин ксантис ,3 витрина ,А,2,"центр, на Фенистил "
долгит ,3 витрина ,А,5,ибупрофен 
амелотекс гель ,3 витрина ,А,5,
камфорное масло ,3 витрина ,В,2,край справа 
индовазин гель ,4 витрина ,В,1,"ещё и против отека, не бюджетное решение, можно купить отдельно два геля из состава и будет дешевле "
финлепсин ,склад подоконник ,,,
доктор тайс сироп,1 витрина зал ,А,5,можно беременным 
прополиса настойка,3 витрина ,В,1,
индапамид ретард ,3 зал ,А,5,рядом с алси 
Меновазин спрей ,3 витрина ,В ,2,за баночками Меновазина 
Дюфалак ,3 витрина ,А,3,действующее вещество лактулоза 
юнивит Аква ,2 зал ,В,3,рядом с аквадетримом 
момат Рино ,3 витрина ,А,1,
офлоксацин,2 зал,В,1,справа у стенки 
аленталь ,3 витрина ,А,5,аналог аэртала
афала ,3 витрина ,А,1,"справа у стены, возле карипаина "
Амоксиклав сироп,2 зал ,А,4,
соли для ванн ,4 витрина ,В,2,
нифурал,4 зал ,А,4,
эглонил,1 витрина ,В,2,"справа, возле баклосана у стенки "
Некст экспресс ,3 витрина ,А,3,у стекла слева 
ноопепт,3 витрина ,А,2,
Терафлекс крем,3 витрина ,А,5,у стекла 
борная кислота порошок ,4 зал ,В,3,
лактацид классик ,5 витрина ,А,5,в центре 
ladycheck ледичек тесты ,под кассой ,В,1,
Магния сульфат порошок ,2 холодильник ,,2,справа у стенки 
метеоспазмин,3 витрина ,А,3,"справа возле панзинорм, класть на микразим "
эритадин ,3 витрина ,А,2,дезлоратадин 
фолиевая кислота ,2 зал ,В,3,
метронидазол гель,4 витрина ,А,4,
трекресил ,1 витрина ,А,4,
гастрофарм,3 витрина ,А,3,у стекла слева 
пироксикам ,3 витрина ,А,5,
сирдалуд,1 витрина ,В,2,"в конце, по середине "
панзинорм ,3 витрина ,А,3,аналог панкреатина 
Нурофен экспресс ,3 витрина ,А ,4,
Афобазол,3 витрина ,А,2,
Аскофен ультра ,3 витрина ,А,4,
кромицил ,3 витрина ,А,2,противоаллергические капли 
Мильгамма таблетки ,2 зал,В ,3,
тербикс ,4 витрина,А,4,"аналог тербинафина, в центре у стекла, сверху микодерма "
детский крем ,5 витрина,А,4,
цинокап ,4 витрина,А,4,"слева, почти возле стенки "
полинадим,3 витрина,А,2,противоаллергические капли 
глево ,2 зал,В,1,
Лизобакт ,2 зал,А,5,
пепсан ,4 зал,А,4,
ацикловир таб.,1 витрина ,В,1,
диара,3 витрина ,А,3,"Лоперамид, слева у стекла, где Имодиум "
вигантол ,2 зал,В,3,витамин д3
офлоксацин ,2 зал,В,1,
тербинафин крем,4 зал,В,1,
Маалокс ,3 витрина ,А,3,в центре
Тенотен ,3 витрина ,А,2,
лактофильтрум,3 витрина ,А,3,
Нимесулид гель ,3 витрина ,А,5,
фитолакс,4 витрина ,А,3,
амитриптилин ,1 витрина ,В,2,край справа 
фенибут ,1 витрина ,В,2,
грандаксин ,1 витрина ,В,2,
моксифлоксацин,2 зал,В,1,
винпотропил,3 зал,В,1,
Рио подсластитель ,4 витрина ,А,2,
сукразит,4 витрина ,А,2,
Пантогам ,3 зал,В,1,в самом центре ящика 
спасатель мазь ,3 витрина ,А,6,
Сорбифер дурулес ,2 зал ,В,3,
монтрал ,3 витрина ,А,2,
омега 3,4 витрина ,А,3,
барсучий жир сустамед,4 витрина ,А,3,
астродерм ,4 витрина ,А,4,"правее рядом с нафтифином , аналог Контрактубекс "
софрадекс,5 зал,В,3,"около стиллавита и Ципролет, в правой стороне "
Фемибион ,2 витрина,А,1,справа за симбиотиком 
перметрин ,4 витрина ,А,4,
ла-кри,4 витрина ,А,4,
горный кальций,4 витрина ,А,3,
ангиовит ,2 витрина ,А,1,
нафтифин,4 витрина ,А,4,противогрибковое 
тербикс спрей,4 витрина ,А,4,
фенисмарт ,3 витрина ,А,2,аналог фенистила 
ренгалин ,1 витрина ,А,5,
вечернее биокор ,5 зал ,В,2,
Венарус гель,4 витрина ,А,5,
Мальтофер ,2 зал,В,3,"с железом, для детей "
флуифорт,2 зал ,А,2,
эндокринол,3 витрина ,А,1,у стекла слева 
масло расторопши капс.,5 зал,В,2,
каламин лосьон ,4 витрина ,А,4,"левее, возле судокрема"
Мирамистин раствор и спрей,1 витрина ,А,6,
Снуп ,1 витрина ,А,3,
отривин бэби ,1 витрина ,А,1,
карбамазепин ,подоконник ,,,
хондрофен ,3 витрина ,А,5,
циндол,4 витрина ,В,2,
Ринофлуимуцил ,1 витрина ,А,3,
ибупрофен ,1 зал,А,3,
мелатонин ,1 витрина ,В,2,
доксазозин ,1 зал ,В,3,
отофа,1 холодильник,,,
Юнидокс солютаб,2 зал,В,2,
Вильпрафен солютаб ,2 зал ,В,1,справа у корзинок 
ангидак,1 витрина ,А,6,"центр, аналог тантума "
Магне В6,2 витрина,А,1,
боботик,3 витрина ,А,3,
ондансетрон ,4 зал ,А,3,"справа у стены, где Церукал"
Тержинан ,1 зал ,В,1,
скорая помощь с бадягой,4 витрина ,В,2,
ноотроп,4 витрина ,А,3,
Ципролет А,2 зал ,В,2,бюджетный аналог цифрана
цефиксим ,2 зал,В,1,
шиповника сироп ,5 зал,А,4,
никотиновая для волос ,5 витрина ,А,2,
веррукацид,5 витрина ,А,2,у стекла справа 
кандид для полости рта,4 витрина ,А,4,
нифурател ,2 зал,В,1,"центр, возле моксифлоксацин "
Сумамед порошок ,2 зал ,В,2,
алкоапн ,3 витрина ,А,4,
Синекод капли,1 витрина ,А,5,
Тонзилгон ,1 витрина ,А,5,
омнитус капли ,1 витрина ,А,5,
люголь ,1 витрина ,А,6,
стоматофит ,1 витрина ,А,6,
гербион ,1 витрина ,А,5,
геделикс ,1 витрина ,А,5,
Синекод сироп ,1 витрина ,А,5,
артрум ,4 витрина ,В,1,
лизоцим ,2 зал,А,5,
боро плюс,4 витрина ,А,5,
кордарон ,3 зал,А ,5,левее за амиадароном 
тетрациклин таб.,2 зал ,В,2,справа в контейнере 
фолибер,2 зал ,В,3,
микодерил ,4 витрина ,А,4,
кетомизол+,4 витрина ,А,1,
мастодион,3 витрина ,А,1,
итилокт тиоктовая кислота ,4 склад ,А,3,аналог октолипен 
микоспрей,4 витрина ,А,4,
декспантенол ,4 витрина ,А,4,
назарел ,3 витрина ,А,2,
фликсоназе,3 витрина ,А,2,
Пантогам  раствор дети,3 зал,В,1,
нозефрин,3 витрина ,А,1,
тацин мазь софарма,4 витрина ,В,2,
Анаферон ,1 витрина ,А,4,
Лавомакс ,1 витрина ,А,4,
Афлубин ,1 витрина ,А,4,"слева, около анаферона "
ипидакрин ,1 витрина ,В,1,"аксамон, в центре, около арпефлю "
орвирем ,1 витрина ,В,1,
бронхо-мунал,1 витрина ,В,1,
реслип ,1 витрина ,В,2,
донормил ,1 витрина ,В,2,
фенибут ,1 витрина ,В,2,
амитриптилин ,1 витрина ,В,2,
мелатонин ,1 витрина ,В,2,
толперизон,1 витрина ,В,2,бюджетный аналог мидокалма 
рокона ,1 витрина ,В,2,
кветиапин,склад,,,
доксиламин,1 витрина ,В,2,
гроприносин ,1 витрина ,В,1,
Атаракс ,1 витрина ,В,2,
Ципрофлоксацин 500мг,2 зал ,В,2,бюджетный вариант цифрана 
максиколд ототита,5 зал ,В,3,
укропная вода ,5 витрина ,А,4,
заживайка,5 витрина ,А,4,у стекла 
магний цитрат ,2 витрина ,А,самый вверх,
Данцил ,5 зал ,В,3,"около лафракса, слева у верхнего угла "
шунгит ,3 витрина ,А,6,
доктор газекс,3 витрина ,А,3,
нанопласт,3 витрина ,А,5,
до и после крем ,4 витрина ,А,5,
тромбогель 1000 ,4 витрина ,В,2,слева у стенки 
Парадиз ультра ,4 витрина ,А,4,около педикулена 
МКЦ,4 витрина ,А,2,у стекла слева 
Персен ,3 витрина ,А,2,
риксинт ,1 витрина ,А,3,
Кальция глюконат таблы,1 склад,Б,,Возле аскорбинки
эпитонекс,4 витрина ,А,4,"правее, где нафтифин "
менорил,3 витрина ,А,1,
фиточай алтай,4 витрина ,А,2,
Амоксициллин,1 склад ,А,2,Слева
дезлоратадин,3 витрина ,А,2,
бромгекомб ,2 зал,А,2,
бальзам золотой звезда ,2 витрина ,А,2,
линкас лор бальзам ,2 витрина ,А,2,
доктор мом мазь,2 витрина ,А,2,
кестин ,3 витрина ,А,2,у стекла 
Эспумизан беби ,3 витрина ,А,3,
Эспумизан ,3 витрина ,А,3,справа возле фильтрума
эльмуцин ,2 зал ,А,3,
фитосвечи ушные,5 зал,В,2,
цитовир детский ,1 витрина ,В,1,
олифрин ,1 витрина ,А,3,
судокрем ,4 витрина ,А,4,
гиалурол,5 витрина ,А,2,
метиленовый синий ,3 холодильник ,,5,
калия йодид ,2 витрина ,А,1,
Изопринозин ,1 витрина ,В,1,
лориста,3 зал ,А,3,
риолма,3 зал,А,3,аналог ипперон/эспиро (справа вначале)
Саб симплекс ,3 витрина ,А,3,
телмисартан ,3 зал ,А,2,"слева у стенки, замена телсартана "
опатанол,3 витрина ,А,2,
йодинол,5 витрина ,В,2,слева у стены 
Креон ,3 витрина ,А,3,
акристил,3 витрина ,А,2,
пиридоксина гидрохлорид,2 зал ,В,3,нижний угол слева 
Амоксициллин+клавулановая кислота ,2 зал ,В,1,
успоковенок,3 витрина ,А,2,
масло репейное ,5 витрина ,А,2,
азелик,4 витрина ,А,4,у стекла 
панкрамин,4 витрина ,А,3,"правее, около омега 3"
блогир ,3 витрина ,А,2,
марля,1 склад ,А,,
декскетопрофен,3 склад ,А,3,рядом с Нимесилом 
каметон,2 зал ,А,5,рядом с ингалиптом 
амоксициллин капс,2 зал ,В,1,
клацид,2 зал,В,1,рядом с Сумамед 
Анна тампон ,4 витрина ,А,6,у стекла 
Амбробене таб,2 зал ,А,3,
траумель,3 витрина ,А,5,"слева у стенки, выше мазей с ядом "
линкомицина гидрохлорид ,4 склад ,А,1,слева у стены 
звёздочка ЛОР,2 зал ,А,4,
овесол,4 витрина ,А,3,
фринозол ,3 витрина ,А,2,
венитан,4 витрина ,А,5,
натрия тетраборат ,4 витрина ,В,1,
фазостабил ,3 зал,В,1,аналог Кардиомагнил 
доксициклин,2 зал,В,2,справа в контейнере 
бинт эластичный ,5 витрина ,А,4,
бадяга гель,4 витрина ,В,2,
залаин крем,4 витрина ,А,4,"центр в начале, около нафтифина "
глицин форте,4 витрина ,А,3,
фураданизол,2 зал ,В,2,
папазол,5 витрина ,В,2,
крем Любава ,5 витрина ,А,3,
ибупрофен акос 400мг,3 витрина ,А,4,
Рибоксин ,3 зал ,В,2,за Аспаркам 
Церукал ,4 зал ,А,3,справа у стены за метоклопрамид 
иплерон ,3 зал ,А,3,аналог эспиро 
габапентин,1 витрина ,В,2,
глицерин раствор ,3 витрина ,В,1,в контейнере 
Панавир инлайт,5 витрина ,А,6,
ревит драже,2 зал ,А,5,
ундевит драже ,2 зал,А,5,
аскорбиновая кислота драже,2 зал,А,5,
салипод,5 зал ,В,1,
энам,3 зал,А,4,слева у стены (угол)
апилак ,2 витрина ,А,1,
комплекс для почек,4 витрина ,А,3,
клирвин,5 витрина ,А,2,у стекла по центру 
белосалик лосьон,4 витрина ,А,4,
олазоль,4 витрина ,А,4,
паноксен,3 витрина ,А,4,
Фуразолидон ,2 зал ,В,2,
чемеричная вода,3 витрина ,В,2,
комбалгин гель,4 витрина ,В,1,по центру
дермовейт,4 зал ,В,2,
гидроксизин канон ,1 витрина ,В,2,аналог Атаракс 
пивные дрожжи ,5 витрина ,А,2,
аэртал гель ,3 витрина ,А,5,
азикс дерм,4 витрина ,А,4,
супер оптик ,2 витрина ,А,1,
прегинор,3 витрина ,А,1,
ринобакт,1 зал ,А,4,
моксифлоксацин 400 таб,2 зал ,В,2,
экталуст,3 витрина ,А,2,
изжогофф,3 витрина ,А,3,аналог Ренни 
кардиоактив ,4 витрина ,А,3,"у стекла, центр "
троксиметацин ,4 витрина ,В,1,
эльцет,3 витрина ,А,2,
клензит,4 витрина ,А,4,слева у стекла 
спермацетовый крем ,5 витрина ,А,2,
чистотело,5 витрина ,А,2,
венолайф,4 витрина ,А,5,
гастрасан ,3 витрина ,А,3,аналог Ренни 
сустамол,3 витрина ,А,6,
цикловита,3 витрина ,А,1,центр у стекла 
незулин,4 витрина ,А,4,"слева у стены, в стопке кремов/мазей "
5 дней о пота ,4 витрина ,А,5,
гастал,4 зал,А,3,
экстракт лавзея ,3 зал ,В,2,справа у стены 
Фаринорм,1 витрина ,А,6,у стекла 
Дротаверин ,1 зал ,А ,4,угол справа в корзине 
цетиризин капли,3 витрина ,А,2,"справа у стекла, аналог Зиртек "
гинкго билоба ,4 витрина ,А,3,
аевитамин,5 витрина ,А,2,
стелфрин,5 зал,В,3,"угол справа, под фенилэфрином"
черника форте ,4 витрина ,А,3,у стекла 
дексонал,3 витрина ,А,4,у стекла 
Энтерол,4 зал ,А,4,
форлакс ,4 зал ,А,4,у стены 
дексаметазон капли ,5 зал,В,3,слева у стены 
аскофен ультра ,3 витрина ,А,4,слева у стекла 
дибикор,4 зал ,А,2,"справа у стены, рядом с холензим "
нимулид гель,3 витрина ,А,5,у стекла слева 
Назонекс детский ,3 витрина ,А,2,слева сверху насобека 
аджиколд,2 зал ,А,3,у стены 
малавит,4 витрина ,В,2,возле аммиака 
акристил,3 витрина ,А,2,
блогир ,3 витрина ,А,2,
судороги 911,4 витрина ,А,5,
дягтярное мыло,4 витрина ,А,1,
винпотропил ,3 зал ,В,1,возле омарона
имудон,2 витрина ,А,1,справа 
золотой ус ,4 витрина ,А,5,справа у стекла 
Адаптол,1 витрина ,В,2,"верхний левый угол, возле мебикара "
новая кислота таб.,2 зал ,В,3,рядом с витамином д3
крем череда ,5 витрина ,А,4,
Неотанин,4 витрина ,В,2,верхний угол слева 
ортофен таб.,3 склад ,А,3,рядом с контейнером 
синупрет,1 витрина ,А,5,
дексаТобропт,5 зал,В,3,"аналог тобрадекс, справа "
Аминокапроновая кислота,2 холодильник,1,1,Сперва наверху
льняное масло ,2 холодильник ,дверь ,,в самом низу 
renu,5 витрина ,А,1,
нексемезин,3 витрина ,А,4,
мотрин,3 витрина ,А,4,"у стекла, в центре, возле ношпы "
муравьиная кислота и окопник,3 витрина ,А,6,у стекла 
тералив ,3 витрина ,А,4,
глина,4 витрина ,А,6,
арника ,3 холодильник ,дверь ,нижняя полка ,
Бепантен ,4 витрина ,А,4,
тизанидин,1 витрина ,В,2,центр за донормилом 
глимепирид,1 зал ,А,2,справа у стены 
риниколд кофкомплекс ,1 витрина ,А,5,
ринокомплекс,1 витрина ,А,5,
мирамед Эвалар ,1 витрина ,А,6,
максиколд лор ,1 витрина ,А,6,
Лизобакт комплит ,1 витрина ,А,6,
ТераФлю Лар,1 витрина ,А,6,
Фенистил гель ,3 витрина ,А,2,
вагилак,1 холодильник ,,2,
банеоцин,4 витрина ,А,4,
фитомуцил,4 витрина ,А,3,слева у стекла 
фриколд ,1 витрина ,А,4,
арпефлю,1 витрина ,В,1,
Циклоферон ,1 витрина ,В,1,
ангионорм,4 витрина ,А,3,справа у стекла (возле гинкобилобы)
эубикор,4 витрина ,А,2,
ливесил форте ,4 витрина ,А,3,
фталазол ,2 зал,В,2,
офтаквикс,5 зал,В,3,левый верхний угол 
кардиАСК,3 зал ,В,1,слева где циннаризин 
винилин,4 зал ,А,3,
подагрель,1 зал ,А,3,"в центре, вначале "
картифлекс,3 витрина ,А,1,у стекла 
экзостат ,4 витрина ,А,4,
лимонника настойка,3 зал ,В,2,
офтолик,5 зал,В,3,в центре 
дюфалоза ,4 зал ,А,2,центр у стены 
мочевина 25% крем,4 витрина ,А,5,
мочевина 25% крем,4 витрина ,В,2,у стены 
роноцит,3 склад,А,4,
Имодиум ,3 витрина ,А,3,
пропосол спрей ,1 витрина ,А,6,справа у стены 
урефрон,1 зал ,В,3,"справа у стенки, ближе к верхнему углу, где нефростен "
глюкованс ,1 зал,А,2,
баклосан ,1 витрина ,В,2,справа угол
Тантум верде,1 витрина ,А,6,у стекла
аскофен п,1 зал ,А,4,
тардиферон,2 зал,В,3,"ближе к правому верхнему углу, около витамин А, у стены "
мексэллара,4 склад,А,3,
Комбилипен ,2 зал,В,3,
Троксевазин,4 зал,В,1,
Альфазокс ,4 зал,А,4,"У стены возле полесорба, перед фолракс"
фенофибрат,1 зал ,А,2,слева 
эзетимиб ,1 зал ,А,2,
липобон ,1 зал ,А,2,слева 
асккардио,3 зал ,В,1,
циклим,3 витрина ,А,1,
кордиамин,3 зал ,В,2,"у стены в центре, за панангином "
Пимафукорт,4 зал,В,2,Справа  у стены возле дерматин 
индоколлир,5 зал ,В,3,правый угол  (он же индометацин капли)
пироксикам капс,1 зал,А,3,
нормакс ,5 зал ,В,3,в центре 
ребагит,4 зал ,А,3,
арпефлю,1 витрина ,В,1,
гиоксизон,4 зал ,В,2,
кордиамин раствор,подоконник ,,,
энтофит лакс,4 витрина ,А,3,
Седальгин,3 витрина,А,4,За пенталгином ближе к стеклу 
Феррумтабс,2 зал,В,3,
дитамал,3 витрина ,А,1,
эффералган,1 витрина ,А,4,
бромгексин берлин хеми,2 зал ,А,2,слева 
альфаксим ,2 зал ,В,1,"справа, около корзинок "
касторовое масло ,3 витрина ,В,2,
Йодомарин ,2 витрина ,А,1,
рамиприл,3 зал,А,5,правый нижний угол 
амитриптилина тригидрат ,2 зал,В,2,
цинктерал ,2 витрина ,А,самый верх ,
салицинк,5 витрина ,А,2,
фозиноприл ,3 холодильник ,Дверь,,
хемомицин,2 зал,В,2,
фозиноприл,3 зал ,А,3,"левее, вначале "
скиноклир,4 витрина ,А,4,
Панцеф ,2 зал,А,4,дешевле супракса 
дибазол таб,5 витрина ,В,1,в корзине 
венозол,4 витрина ,А,5,
виардо,3 витрина ,А,1,
Дигоксин,Сейф,,,
денол,4 зал ,А,3,угол справа 
ТОФф плюс,2 зал,А,3,Справа в углу возле ринза 
лимфотранзит,4 витрина ,А,2,слева у стекла 
табенова,3 витрина ,А,4,слева у стены 
валерианаВ6,4 витрина ,А,3,
Дерма кап,4 витрина,А,4,Слева у стекла 
панкреатин реневал,3 зал ,А,3,
симбиотик мах,2 витрина ,А,1,
цитофлавин раствор ,4 склад ,А,3,"справа у стены, вначале "
гилуароновый кркм,5 витрина ,А,2,
апизартрон,3 витрина ,А,5,"слева угол, у стекла "
Левофлоксацин таблетки ,2 зал,В,1,
фаспик,3 витрина ,А,4,
непафенак,5 зал ,В,3,"справа , ближе к правому углу, бюджетный аналог неваеака"
чудохаш,3 витрина ,А,6,у стекла 
мастофит,3 витрина ,А,1,
эсвицин,5 витрина ,А,2,
левомицетин капс ,2 зал,В,2,
рутацид,3 витрина ,А,3,"около стекла, в центре "
холитилин,3 зал ,В,1,в центре 
раниклав,2 зал ,В,1,"слева у стены, аналог Амоксиклав "
эмсибел,5 зал ,В,3,"аналог эмоксиоптика, в центре, левее, возле тимолола "
экоклав,2 зал ,А,4,
Белосалик лосьон,4 витрина ,А,4,
лидокаин глазные ,5 зал ,В,3,справа 
дермакап,4 витрина ,А,4,слева 
клиндамакс,4 витрина ,А,4,"слева, где судокрем "
сигницеф,5 зал ,В,3,верхний угол слева 
дышесол,1 витрина ,А,3,"слева, около риностоп "
джес,1 зал ,В,2,слева 
визокко,5 зал ,В,3,"аналог визина, справа внизу, возле анаурана "
спазган,1 зал ,А,4,слева 
нитрофунгин,4 зал ,А,4,"угол справа у стекла, где кандид "
тавегил,3 витрина ,А,2,слева у стекла
эритромицин таб.,2 зал ,В,2,справа в контейнере 
ломфлокс ,2 зал ,В,1,вроде в центре у стены 
лекролин,3 зал ,А,2,
до и после крем ,4 витрина ,А,5,
пародонтоцид,3 витрина ,В,1,
алесорб,4 зал ,А,4,рядом с энторосгелем 
зилекса,1 витрина ,А,6,"слева, рядом с миристоилом "
страйк плюс ,3 витрина ,А,4,"в центре, у стекла "
нефопам.,1 зал ,А,3,
тагиста,3 зал ,В,1,"аналог бетагечтина, справа "
Амброксол таб,2 зал ,А,3,
магний б6 ЭКО ,2 витрина ,А,самый верх ,
витамины красоты ,3 витрина ,А,самый верх,где Глюкозамин 
нефопам,4 склад ,А,1,
цинка сульфат диа,5 зал ,В,3,"центр, рядом с ципромедом "
климаксан,3 витрина ,А,1,слева у стекла 
рамни,3 витрина ,А,3,"справа у стекла, аналог Ренни "
йодинол спрей,1 витрина ,А,6,
ксизал,3 витрина ,А,2,у стекла 
сигида,5 зал ,В,3,
цересил ,3 зал ,В,1,правее от центра
трекрезан,1 витрина ,А,4,слева за контейнером 
Рисперидон,1 витрина,В,2,центр у стены 
меберин,4 зал ,А,3,перед омезом 
бронхипрет,1 витрина ,А,5,слева у стекла 
левофлоксацин капли,5 зал ,В,3,слева верхний край 
олопаталлерг,3 витрина ,А,2,в центре 
долоспа,3 витрина,А,4,Возле нурофена 
хилокомод,5 зал ,В,3,"центр, около демазол "
окомистин ,5 зал ,В,3,"центр, около ципромеда, ципролета, стиллавит"
ницерголин,1 витрина ,В,2,в центре 
бензоилбензоат мазь ,3 холодильник ,,4,справа край 
формидрон,4 витрина ,В,2,рядом с циндолом 
бифиформ,4 зал ,А,2,около мезима 
бримайза дуо,5 зал ,В,3,"около комбигана, справа у стены "
омникокас ,1 зал,В,3,аналог омника 
котримоксазол,2 зал,В,1,В корзике где левофлоксацин и глево 
преднизон,1 зал ,А,3,справа около верхнего угла 
серлифт,,,,где абуцел
тиоктовая кислота,1 зал ,А,2,
тетурам,1 витрина ,В,2,"справа, за толперизоном "
Капилар,4 витрина,А,3,Возле пустырник форте и омега 
зеркалин,4 витрина ,А,4,
долонит,3 витрина,А,5,"Аналог долобене, справа от долгита "
Фукорцин,3 холодильник ,,5,
Цинкорол,2 витрина,А,,Самый верх
сонапакс,,,,
антигриппин анви,1 витрина ,А,4,справа край 
лифтинг крем,5 зал ,А,3,в начале - центр 
Дифлюкан ,1 зал ,В,2,в коробке где флуконазол
бензоилбензоат эмульсия ,3 холодильник ,дверь ,,
флуоксетин,1 витрина,В,2,Справа в углу
витаон,4 витрина ,В,2,возле аммиака 
орнидазол,1 зал ,В,2,"центр, возле итраконазола "
селецин,2 витрина ,А,1,
фуцидин,4 витрина ,А,4,слева угол у стекла
мастопол,3 витрина ,А,1,
Псило бальзам,4 витрина,А,4,Слева в стопке разных мазей
кордипин,3 зал ,А,4,"слева, возле норваска "
нормоэнзим,4 зал ,А,2,на Фестал 
настойка сабельника,3 витрина ,А,1,справа у стекла
флебофа,4 витрина ,А,5,слева у стекла 
глюкоза в пакетах,4,А,1,справа 
Винпоцетин концентрат,4,А,3,Возле рибоксина/октолипена 
ревалгин раствор ,4 склад ,А,4,около анальгина и спазгана 
овипол Клио ,1 зал ,В,1,слева у стены 
плавикс,3 зал ,А,2,"нижний край справа, сверху дипиридамола "
микозон,4 витрина ,А,4,"центр у стекла, возле кандида "
назаваль,1 витрина ,А,3,"центр, около отривина "
экаменол назо,1 витрина ,А,3,"левее центра, около назаваль "
амброксол сироп ,2 зал ,А,2,"в центре, у стены, около Амбробене "
Клотримазол свечи ,1 зал ,В,1,"слева, верхний угол "
колофорт,4 зал ,А,3,"справа у стенки, ближе к верхнему углу "
уробинефрон,1 зал ,В,3,справа в контейнере (угол)
фортедетрим ,2 зал ,В,3,в центре 
инокаин,5 зал ,В,3,"центр, около Стиллавин или лидокаин "
артрокомплекс,4 витрина ,А,2,"справа, возле стенки "
декспантель,5 зал ,В,3,"центр ближе к верхней стене, аналог корнерегеля"
лорноксикам ампулы ,4 склад ,А,4,бюджетный аналог Ксефокам 
лорнолиоф,пенал,,5,бюджетный аналог Ксефокама
гекмет,4 зал ,В,1,бюджетный аналог метрогила
мицин,2 зал,В,1,"справа угол внизу, в корзинке "
эдомари,2 зал ,А,,
золотой ус ,4 витрина ,А,5,"справа у стекла , угол "
бадяга порошок ,4 зал ,В,3,"в центре, контейнер "
систейн ультра,5 зал ,В,3,"центр, около стилавита"
ликопид 1,1 витрина ,А,4,"справа нижний угол, около упсарина "
Азитромицин Эко,2 зал ,В,2,слева около Сумамеда 
леветирацетам,склад,,,где абуцел 
полифепам,4 зал ,А,4,верхний угол справа 
колдакт флю плюс капс.,2 зал ,А,3,"справа угол, где Ринза "
лозартан вертекс,3 зал ,А,3,справа у края 
тонзилосепт,1 витрина ,А,5,"аналог тонзилгона, слева у стенки"
карталин,4 зал ,В,2,"слева около акрилерма, у стены нижней "
Вишневского,3 холодильник ,,6,справа угол 
октолипен,4 склад ,А,3,"у стены в центре, бюджетный аналог берлитиона "
новобисмол,4 зал ,А,3,"правый угол, бюджетный аналог денола "
сафистон,3 витрина ,А,4,"центр, на стекло, выше страйка "
ИРС19,2 витрина ,А,1,"на стекло, центр, где Элевит "
успокоительный сбор ,5 зал ,А,4,нижний край слева 
ил таб,2 зал ,А,2,"слева нижний край, где бромгекомб это его бюджетный аналог "
Порталак ,4 зал,А,2,У стены возле фестала
синукомб,1 витрина,А,5,Аналог синупрет 
Цитралгин ,3 витрина,А,6,Возле спецмази 
праджистан,3 зал,В,2,"ближе к левому верхнему углу, бюджетный аналог упраджистана "
стрессанет,4 витрина ,А,3,справа около лецетина 
бебифрин,1 витрина ,А,3,"около левого верхнего угла,  "
плантаглюцид,4 витрина ,А,3,"справа ближе к центру, около барсучьего жира"
гепато,4 витрина ,А,3,"справа ближе к центру, за барсучьим жиром "
Назацил рино ,1 зал ,А,5,"Слева, аналог виброцила "
Наятокс,3 витрина,А,5,Слева у стекла
эргоферон ,1 витрина ,А,4,"левее центра, у стекла "
феницитол,3 витрина ,А,2,"справа у стекла, аналог фенистила "
инфлюцеин,1 витрина ,А,4,"справа, около арбидола "
фундизол,4 витрина ,А,5,справа у стены 
миоризон,3 холодильник ,,1,"центр, аналог ампул мидокалма "
суприма бронхо,1 витрина ,А,5,"возле нижнего левого угла, около тонзилгона "
демотен,5 зал ,В,3,"центр, рядом с демазолом"
диметинден,3 витрина ,А,2,дешевле фенистила 
индометацин ,4 витрина ,В,1,"слева, противовоспалительное бюджетное "
гомеовокс,1 витрина ,А,5,центр у стекла 
левосин,3 холодильник ,,6,"слева, между Левомеколь и левометилом "
конский каштан настойка,3 витрина ,В,1,справа 
квисил,3 витрина ,А,2,"центр, у стекла, над ксизалом "
фитоиммун,2 витрина ,А,2,"справа, возле стекла, где линкас и доктор мом "
дортимол антиглау,5 зал,В,3,"аналог дорзопт +, слева около тауфона "
лиотон,4 витрина ,В,2,"слева угол, около тромбогеля, у стены "
мукофальк,4 зал,А,4,"центр у стены, с апельсином упаковка "
регецин,4 витрина ,А,4,"слева около клиндагель, Банеоцин "
вигамокс,5 зал ,В,3,в центре за стилавитом
тексаред,1 зал ,А,3,"в центре у стены, стоит на пираксикаме"
ибупрофен гель,4 зал ,В,1,в центре 
гимекромон ,4 зал ,А,1,нижний угол справа 
зиннат,2 зал ,В,1,"центр, возле таваника "
сульфасалазин,2 зал ,В,2,"правый угол, в корзине "
фарингопромт,2 зал ,А,5,"слева, аналог фарингосепт "
форлакс детский,3 зал ,А,3,слева возле Дюфалак (вначале полки) перед dr. gazex
альфа нормикс,2 зал ,В,1,справа внизу около голубой корзинки 
фезам,3 зал ,В,1,"у нижней стенки в центре, возле омарона "
парадонтоцид,4 зал ,В,1,центр где дентамет 
парадонтоцид раствор ,3 витрина ,В,1,"слева, верхний угол, где левометецин "
